From File,To File,References,From Entities,To Entities
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\EncodingMapper.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\EncodingMapper.h,10,6,5
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\EncodingMapper.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\MISC\Common\precompiledHeaders.h,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\EncodingMapper.h,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\EncodingMapper.cpp,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.h,133,15,16
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\localization.cpp,3,1,2
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\localization.h,2,2,2
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\menuCmdID.h,9,3,3
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\MISC\Common\Common.cpp,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\MISC\Common\Common.h,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\MISC\Common\precompiledHeaders.h,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\Parameters.cpp,2,1,2
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\Parameters.h,7,5,5
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lastRecentFileList.h,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\Parameters.h,5,4,4
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.h,18,7,10
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\menuCmdID.h,4,2,3
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\MISC\Common\precompiledHeaders.h,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\resource.h,9,6,6
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\WinControls\StaticDialog\StaticDialog.cpp,4,2,3
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\WinControls\StaticDialog\StaticDialog.h,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.cpp,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\WinControls\Window.h,15,5,4
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.h,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\WinControls\StaticDialog\StaticDialog.cpp,1,1,1
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.h,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\WinControls\StaticDialog\StaticDialog.h,6,6,3
C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\lesDlgs.h,C:\usr\Projects\notepadplus_repository\trunk\PowerEditor\src\WinControls\Window.h,4,2,3
